循环次数,平均放电电压,平均放电温度,等压降放电时间（3.8V-3.5V）,容量
1,3.522006703,32.62485875,1643.235,1.891052295
2,3.531949043,32.73820959,1682.079,1.880637028
3,3.534402522,32.68511457,1682.61,1.880662672
4,3.534925049,32.5547485,1702.015,1.880770901
5,3.53453664,32.46787845,1701.078,1.879450873
6,3.541162667,32.48624734,1701.578,1.880700352
7,3.541165612,32.55779966,1701.468,1.879935252
8,3.549458118,32.45374436,1703.406,1.881508812
9,3.550280546,32.37324644,1701.984,1.869690787
10,3.548134767,32.30534276,1702.735,1.87005238
11,3.548427215,32.18331948,1702.687,1.870044239
12,3.55604336,32.37885318,1702.86,1.859651899
13,3.560484964,32.29132495,1703.219,1.859074656
14,3.556287254,32.14782797,1702.906,1.859008458
15,3.564774622,32.01380948,1702.969,1.859362259
16,3.565438929,31.8813101,1682.453,1.858735545
17,3.565961679,31.8543043,1683.719,1.847817291
18,3.572496559,31.8565554,1683.719,1.848525292
19,3.569949202,31.86718261,1683.594,1.848378952
20,3.546433845,32.35216872,1722.562,1.880780544
21,3.553196809,32.60219299,1742.062,1.88147216
22,3.559934021,32.1957182,1723.656,1.881095431
23,3.559560497,31.80598816,1703.875,1.871008965
24,3.552385162,31.73700198,1721.656,1.870199515
25,3.57076703,31.51707668,1703.047,1.870671536
26,3.565722485,31.44286078,1703.062,1.859612464
27,3.571283507,31.32326275,1684.547,1.86003391
28,3.567971627,31.28571571,1683.031,1.859165311
29,3.564631404,31.33185087,1682.843,1.848139818
30,3.568983889,31.32285734,1665.984,1.849201702
31,3.564620689,31.60843645,1695.828,1.883467744
32,3.569438814,31.7821015,1695.625,1.862821112
33,3.568742147,31.51504199,1686.125,1.85208504
34,3.564242407,31.13866351,1667.406,1.846950465
35,3.56530381,31.06871052,1649.094,1.836828431
36,3.565432168,31.61824484,1658.703,1.837161962
37,3.562230316,31.33152806,1639.219,1.831672258
38,3.564481027,31.13256919,1630.14,1.821147095
39,3.561614557,30.97296968,1620.766,1.816506092
40,3.563058746,31.19906485,1611.406,1.81138156
41,3.562953437,31.7222676,1620.594,1.811605633
42,3.563446012,31.90082758,1601.953,1.806054896
43,3.563998342,31.53724025,1587.562,1.813204183
44,3.560490228,31.24662583,1592.938,1.806264194
45,3.55670021,30.93939936,1583.031,1.795831025
46,3.558412726,30.884857,1564.25,1.78588526
47,3.556136821,30.92068232,1545.453,1.78032686
48,3.568999942,33.88057782,1648.766,1.81507569
49,3.571059291,33.03833932,1639.219,1.815702515
50,3.566692128,32.2732917,1601.797,1.800243218
