循环次数,平均放电电压,平均放电温度,等压降放电时间,容量
1,3.529828669,32.57232811,1622.625,1.856487421
2,3.537320128,32.72523523,1661.078,1.84632725
3,3.543736728,32.64286194,1661.922,1.835349194
4,3.543666107,32.51487646,1662.906,1.835262528
5,3.542343253,32.38234902,1661.938,1.834645508
6,3.541334735,32.43418218,1662.296,1.83566166
7,3.54102505,32.48041644,1662.219,1.835146143
8,3.554133297,32.41046186,1664.61,1.825756791
9,3.552935599,32.34614083,1662.828,1.824773853
10,3.551205732,32.27679751,1663.421,1.824613268
11,3.54929232,32.1570935,1663.672,1.824619553
12,3.559759221,32.3640713,1645.328,1.814201936
13,3.558081969,32.31819544,1645.907,1.813752158
14,3.555692244,32.15709029,1626.656,1.813440491
15,3.562746818,32.04407,1626.657,1.802598004
16,3.561452176,31.93159367,1625.157,1.8021069
17,3.560342047,31.94165536,1607.688,1.802579501
18,3.559118904,31.96500865,1607.64,1.803068314
19,3.557886772,31.96624168,1607.188,1.802777625
20,3.552037524,32.37143342,1683.25,1.847025995
21,3.552566844,32.7002499,1702.735,1.847417311
22,3.556794038,32.32266412,1684.125,1.836177421
23,3.561410004,31.98795811,1664.61,1.825780748
24,3.556610795,31.89445652,1645.016,1.825113644
25,3.558674217,31.78039682,1645.609,1.825581504
26,3.564103183,31.68874715,1626.563,1.814031128
27,3.559588064,31.59674799,1645.609,1.814769194
28,3.556833231,31.5655865,1625.141,1.813969389
29,3.562441085,31.59124667,1625.063,1.802765665
30,3.559140711,31.6034854,1608.266,1.80407704
31,3.557316133,31.91556385,1620.875,1.851802552
32,3.561870783,32.08112812,1630.218,1.830703846
33,3.561758634,31.84979263,1611.313,1.819904109
34,3.559730765,31.46569043,1592.172,1.809307964
35,3.557593755,31.40934896,1574.25,1.804609905
36,3.559723788,31.90224748,1583.688,1.799377065
37,3.559061771,31.64902429,1554.906,1.788443234
38,3.557015528,31.48874626,1545.75,1.782923048
39,3.556248193,31.32999561,1536.453,1.773033716
40,3.553275653,31.5695512,1527.125,1.773037755
41,3.556266432,32.11142626,1526.969,1.767872111
42,3.556309542,32.27167601,1517.688,1.76231507
43,3.558950851,31.84229166,1492.594,1.767617292
44,3.553441821,31.75981545,1508.703,1.76266836
45,3.551012154,31.41911167,1479.953,1.751730487
46,3.551317608,31.33162657,1470.656,1.741849605
47,3.549003181,31.35934131,1461.11,1.736091351
48,3.559764834,32.31088484,1564.578,1.793624015
49,3.562345434,32.4358564,1555,1.783189022
50,3.558336658,32.66698125,1517.5,1.767364208
51,3.554013139,32.28423409,1489.516,1.757017785
52,3.552376096,32.00739179,1471.203,1.746870618
53,3.549618661,32.06387072,1470.375,1.741717251
54,3.549381031,32.4375456,1451.86,1.736422506
55,3.547211868,32.16809877,1433.406,1.726321724
56,3.54670521,32.05752646,1424.109,1.715806539
57,3.544629654,31.97592093,1413.985,1.710533351
58,3.543629161,32.21689335,1414.781,1.7060145
59,3.544494615,32.55632994,1395.656,1.700311027
60,3.540920185,32.40048085,1386.125,1.69457986
61,3.541195669,32.29371861,1377.266,1.684902909
62,3.540671045,32.13607145,1358.031,1.674474159
63,3.537604879,32.3826855,1358.188,1.674569248
64,3.538422485,32.30899951,1339.453,1.663716376
65,3.53928627,32.56636929,1340.234,1.659013869
66,3.53369017,32.46542952,1321.282,1.653854057
67,3.534367735,32.34705645,1311.406,1.642653782
68,3.531294193,32.37153894,1302.266,1.637857843
69,3.530913477,32.45549348,1292.609,1.632735041
70,3.528722689,32.50017195,1283.297,1.627752892
71,3.526254936,32.50100298,1273.468,1.622125486
72,3.528684324,32.47289274,1264.406,1.61132566
73,3.525556939,32.50480155,1255.297,1.60656314
74,3.522680565,32.51218336,1236.812,1.601514223
75,3.524673459,32.45692822,1226.859,1.590369231
76,3.521315575,32.44705919,1217.609,1.585788997
77,3.518033865,32.32889655,1198.578,1.584943071
78,3.523684196,32.84488475,1227.078,1.595526389
79,3.519146638,32.31731555,1189.719,1.574730175
80,3.516233649,32.0637613,1180.766,1.564901995
81,3.514773138,32.21997627,1180.563,1.559765947
82,3.513299298,32.71202254,1170.906,1.559481567
83,3.514484831,32.94502215,1162.032,1.554689354
84,3.510967735,32.8575496,1152.125,1.548874108
85,3.510935875,32.62966333,1142.672,1.538236599
86,3.509393098,32.37985901,1133.531,1.527914258
87,3.506678241,32.68215852,1124.141,1.528525263
88,3.510988562,32.99387424,1124.047,1.522647325
89,3.510305463,33.04539707,1114.562,1.517485994
90,3.522221531,32.85629564,1152.235,1.605818899
91,3.516349215,33.33950238,1179.984,1.563849145
92,3.513439762,33.35156485,1152.141,1.548091525
93,3.515137522,33.14748636,1142.766,1.532375563
94,3.508303906,33.00727586,1124.125,1.526952827
95,3.509190808,32.91990813,1105.297,1.516957302
96,3.506809758,32.99903329,1105.469,1.511897596
97,3.506090907,33.03772282,1095.86,1.506563896
98,3.503715773,33.07740307,1096.281,1.501545353
99,3.506747996,33.05467982,1076.938,1.490844405
100,3.505881303,33.11570361,1067.922,1.485868385
101,3.504168334,33.12942149,1068.031,1.480413678
102,3.503056893,33.13068131,1049.438,1.475209587
103,3.498232488,33.2006921,1068,1.485903599
104,3.506585937,33.78697528,1077.766,1.49609183
105,3.501457141,33.67336509,1058.469,1.480800595
106,3.501658387,33.53581812,1049.031,1.469754327
107,3.496618641,33.32269982,1030.36,1.453901227
108,3.499164572,33.34623033,1029.969,1.454146207
109,3.496080777,33.649489,1021.531,1.455023752
110,3.495901453,33.79269514,1021.484,1.449042164
111,3.49758698,33.52446664,1002.359,1.438670937
112,3.495698962,33.39042252,992.719,1.433445432
113,3.492875381,33.67370213,992.625,1.43339589
114,3.495510764,33.91080565,993,1.428064873
115,3.494233359,33.78506806,983.891,1.422920318
116,3.491197414,33.61126807,974.343,1.417429033
117,3.488909408,33.45598581,965.187,1.412409229
118,3.487376296,33.72326745,974.297,1.412578793
119,3.491994244,34.05007637,965.328,1.407598373
120,3.491585879,33.88934691,993.359,1.433392049
121,3.495576227,34.06764855,1002.406,1.438255018
122,3.493898859,33.75168101,974.312,1.417354717
123,3.49159163,33.464823,965.188,1.406981664
124,3.48857293,33.40210698,945.828,1.401203778
125,3.486902115,33.41068892,946.469,1.396700823
126,3.485548521,33.38984948,937,1.391284789
127,3.483891255,33.37004334,936.828,1.386228768
128,3.483198941,33.27215987,917.718,1.380436676
129,3.483627445,33.22244422,917.735,1.375236415
130,3.480172443,33.26207748,908.953,1.370512802
131,3.478452149,33.31202991,908.703,1.370508557
132,3.478578256,33.25287943,899.265,1.364735511
133,3.482519558,33.74505405,927.235,1.375392017
134,3.488682364,33.88841975,927.5,1.386111515
135,3.485850238,33.7353757,917.563,1.369850004
136,3.478794177,33.59131053,899.156,1.364782795
137,3.481282602,33.32366689,899.172,1.354322047
138,3.480352042,33.69196151,890.109,1.354641702
139,3.478112782,33.88763968,890.14,1.354703921
140,3.476586713,33.67308061,880.812,1.349314998
141,3.473376929,33.4119882,871.204,1.344189194
142,3.47263664,33.29926525,861.594,1.338991379
143,3.473439373,33.59980731,871.11,1.338914523
144,3.47547771,33.61961196,861.937,1.334006676
